(n) khả năng
(adj) phong phú
(v) chấp nhận
(n/v) truy cập
(v) chứa đựng
(n) thành tựu
(n) kế toán
(v) tích luỹ
(adv) một cách chính xác
(v) làm quen với
(n) thành tích
(v) đạt được
(n) hành động
(n/v) địa chỉ
(v) tuân thủ
(adj) liền kề
(n) điều chỉnh
(v) ngưỡng mộ
(v) thừa nhận
(adj) tiên tiến
(adj) giá cả phải chăng
(n) nghị sự
(n) đại lý
(adv) mạnh mẽ
(n) thỏa thuận
(v) phân bổ
(v) cho phép
(adj/n) lựa chọn khác
(n) thông báo
(adv) hàng năm
(adj) lo lắng
(v/n) kêu gọi
(v) áp dụng
(n) cuộc hẹn
(n) sự đánh giá cao
(adj) lo lắng
(n) học việc
(v/n) tiếp cận
(n) sắp xếp
(v) đến
(v) xác định
(n) khía cạnh
(v) lắp ráp
(v) đánh giá
(n) tài sản
(n) nhiệm vụ
